
Keyword: GEEKS
Keyword Count: 2758 		 URL: https://www.geeksforgeeks.org/
Keyword Count: 1221 		 URL: https://www.geeksforgeeks.org/url-class-java-examples/
Keyword Count: 1219 		 URL: https://www.geeksforgeeks.org/introduction-to-jdbc/?ref=next_article
Keyword Count: 1187 		 URL: https://www.geeksforgeeks.org/category/programming-language/java/?ref=article_category
Keyword Count: 1187 		 URL: https://www.geeksforgeeks.org/tag/java-classes/?ref=article_tag
Keyword Count: 1155 		 URL: https://www.geeksforgeeks.org/tag/java-url/?ref=article_tag
Keyword Count: 1032 		 URL: https://www.geeksforgeeks.org/privacy-policy/" target="_blank
Keyword Count: 1032 		 URL: https://www.geeksforgeeks.org/cookie-policy/" target="_blank
Keyword Count: 732 		 URL: https://www.geeksforgeeks.org/explore?category=java&ref=article_practice_tag
Keyword Count: 732 		 URL: https://practice.geeksforgeeks.org/explore?page=1&sortby=submissions&utm_source=gfg&utm_medium=search-bar&utm_campaign=practice-search
Keyword Count: 14 		 URL: https://write.geeksforgeeks.org/pick-improvements/pick
Keyword Count: 14 		 URL: https://write.geeksforgeeks.org/pick-article?taxonomy=10261&page=1
Keyword Count: 14 		 URL: https://write.geeksforgeeks.org/posts-new?cid=82536bdb-84e6-4661-87c3-e77c3ac04ede" target="_blank
Keyword Count: 14 		 URL: https://write.geeksforgeeks.org/posts-new?cid=22ae3354-15b6-4dd4-a5b4-5c7a105b8a8f" target="_blank
Keyword Count: 14 		 URL: https://write.geeksforgeeks.org/posts-new
Keyword Count: 0 		 URL: https://use.typekit.net/mrg0hpc.css
Keyword Count: 0 		 URL: http://gmpg.org/xfn/11

===== 	 ERRORS 	 =====
IOException 		 Domain: https://media.geeksforgeeks.org/wp-content/cdn-uploads/gfg_favicon.png" type="image/x-icon
IOException 		 Domain: https://fonts.googleapis.com
IOException 		 Domain: https://fonts.gstatic.com
IOException 		 Domain: https://www.geeksforgeeks.org/wp-content/uploads/gfg_200x200-100x100.png" sizes="32x32
IOException 		 Domain: https://www.geeksforgeeks.org/wp-content/uploads/gfg_200x200.png" sizes="192x192
IOException 		 Domain: https://www.geeksforgeeks.org/wp-content/uploads/gfg_200x200.png
IOException 		 Domain: https://www.geeksforgeeks.org/" aria-label="logo" class="header-main__logo
